"Ano","Trimestre","Creditos","Bonos","Total"
"2005","1","18,053.4","11,071","29,124.4"
"2005","2","17,353.8","11,092.2","28,446.1"
"2005","3","15,548.6","12,632.2","28,180.9"
"2005","4","14,851.4","13,281.8","28,133.2"
"2006","1","14,675.8","13,452.4","28,128.3"
"2006","2","14,558.6","13,661.6","28,220.3"
"2006","3","14,262.5","13,706.7","27,969.2"
"2006","4","14,414.4","14,068","28,482.4"
"2007","1","13,428.3","14,808.8","28,237.1"
"2007","2","13,126.2","15,098.9","28,225.1"
"2007","3","13,472.9","16,893.9","30,366.8"
"2007","4","11,906.5","17,464.4","29,370.9"
"2008","1","12,118.7","17,097","29,215.7"
"2008","2","11,881.6","16,699.1","28,580.7"
"2008","3","11,721.7","16,311.6","28,033.3"
"2008","4","12,429.4","16,585.2","29,014.6"
"2009","1","12,130.3","17,506.9","29,637.2"
"2009","2","12,178.8","18,144.8","30,323.6"
"2009","3","11,532.9","19,790.8","31,323.7"
"2009","4","11,893.5","19,843.4","31,736.9"
"2010","1","11,929.3","20,037.2","31,966.5"
"2010","2","11,891.8","19,976.3","31,868.2"
"2010","3","12,230.3","20,455","32,685.3"
"2010","4","10,979.2","22,786.8","33,766"
"2011","1","11,197.4","22,776.2","33,973.6"
"2011","2","11,112.4","23,007.4","34,119.7"
"2011","3","11,375.2","23,018.3","34,393.5"
"2011","4","11,496.4","23,499.4","34,995.8"
"2012","1","11,238.7","24,851.2","36,089.9"
"2012","2","11,150.2","24,895.5","36,045.7"
"2012","3","11,174.7","25,555.7","36,730.4"
"2012","4","11,074","26,013","37,087"
"2013","1","10,264.5","27,026","37,290.5"
"2013","2","8,719.4","26,247.8","34,967.1"
"2013","3","8,941.1","26,208","35,149.1"
"2013","4","9,019.6","26,302.5","35,322.1"
"2014","1","8,981.1","26,333.9","35,315.1"
"2014","2","9,517.9","27,469.5","36,987.4"
"2014","3","9,227.2","27,903.3","37,130.5"
"2014","4","9,436","28,585.1","38,021.1"
"2015","1","9,699","28,847","38,546.1"
"2015","2","9,804.1","28,459.7","38,263.8"
"2015","3","10,414.2","30,705","41,119.2"
"2015","4","10,669.4","30,979.3","41,648.7"
"2016","1","10,802.5","33,464.1","44,266.6"
"2016","2","10,902.1","33,766","44,668.2"
"2016","3","10,440.1","33,908.6","44,348.7"
